gene;meta.logFC.weighted
LOC104414133;2.948942366
LOC104414249;-1.139893544
LOC104414275;2.931853455
LOC104414384;-2.689080897
LOC104414424;1.311599206
LOC104414748;-2.203931474
LOC104414842;-3.017116204
LOC104414844;2.780246858
LOC104414850;-1.754658239
LOC104415163;2.04262038
LOC104415195;-3.661895249
LOC104415208;3.242973303
LOC104415259;1.272322676
LOC104415298;7.739770639
LOC104415428;2.35257602
LOC104415495;2.171495935
LOC104415666;2.584929555
LOC104415811;-1.253194772
LOC104415812;2.323935178
LOC104415890;5.523439094
LOC104415975;2.203489912
LOC104416098;5.991067988
LOC104416100;3.094735325
LOC104416101;5.54502147
LOC104416309;-1.0613316
LOC104416758;-2.00896981
LOC104417097;3.419029703
LOC104417224;2.301852638
LOC104417344;1.805373863
LOC104417839;2.005664712
LOC104418160;-2.395879414
LOC104418211;1.27796672
LOC104418261;-1.514673895
LOC104418322;-1.69720344
LOC104418418;1.528700534
LOC104418516;4.202658434
LOC104418726;-3.402841948
LOC104418746;2.204546565
LOC104418799;3.285067988
LOC104418823;-1.349531167
LOC104418841;-3.708195873
LOC104418874;-1.689739097
LOC104418986;1.258328938
LOC104419046;-1.796268712
LOC104419047;1.908987157
LOC104419129;-1.648291958
LOC104419256;1.654065391
LOC104419319;-1.578803789
LOC104419331;-2.994277434
LOC104419356;3.592263569
LOC104419390;1.471027239
LOC104419414;1.529226452
LOC104419468;-1.679735588
LOC104419505;3.464485275
LOC104419638;3.453782025
LOC104419699;5.968897066
LOC104419701;6.931087944
LOC104419738;-1.529782801
LOC104419743;1.182570358
LOC104419776;2.369914731
LOC104420143;-1.458477752
LOC104420490;-1.33741753
LOC104420611;-1.840680812
LOC104420933;1.640932518
LOC104421023;1.212947798
LOC104421046;1.69348697
LOC104421062;2.750318096
LOC104421065;-1.515522544
LOC104421211;-1.598371632
LOC104421212;-1.896397612
LOC104421213;-2.2161494
LOC104421217;2.006667928
LOC104421244;-1.929255307
LOC104421641;2.397839935
LOC104421697;1.388525818
LOC104421753;2.242449416
LOC104421832;1.894788593
LOC104421925;-1.583564982
LOC104421943;-1.930854819
LOC104421949;-1.738025331
LOC104421994;2.795852898
LOC104422020;1.425189132
LOC104422063;-1.129495637
LOC104422159;-1.354652603
LOC104422187;-1.439900035
LOC104422425;1.235611123
LOC104422426;4.253792444
LOC104422428;4.164929119
LOC104422435;2.759082054
LOC104422437;2.878633363
LOC104422443;1.835196185
LOC104422449;2.104651256
LOC104422452;3.244280493
LOC104422463;2.141540449
LOC104422490;-1.580561721
LOC104422536;1.756557098
LOC104422563;2.925090616
LOC104422885;3.368436943
LOC104422948;-1.049753519
LOC104422980;-1.851538163
LOC104423019;-1.37501006
LOC104423108;-1.249419275
LOC104423239;6.338553731
LOC104423320;1.454112112
LOC104423376;1.619592008
LOC104423843;2.424403694
LOC104423869;1.762714773
LOC104424069;-1.786413016
LOC104424168;2.027293281
LOC104424311;2.147347586
LOC104424341;-2.286438945
LOC104424363;3.208482257
LOC104424483;1.725579513
LOC104424514;1.731656599
LOC104424548;3.599048836
LOC104424824;-1.584048132
LOC104425031;-1.655312602
LOC104425032;7.202228071
LOC104425069;2.208891668
LOC104425088;1.565226072
LOC104425144;4.209360194
LOC104425170;2.189072966
LOC104425207;1.144367113
LOC104425210;5.170748443
LOC104425331;5.304338035
LOC104425340;-2.257390685
LOC104425552;1.333678048
LOC104425649;-2.759894719
LOC104425674;-1.48670209
LOC104425818;5.652982436
LOC104425845;-2.496061182
LOC104425882;5.085458292
LOC104425894;1.719206562
LOC104425921;5.86971144
LOC104425922;2.371183195
LOC104425924;5.137831282
LOC104425926;7.608773258
LOC104426006;1.865270956
LOC104426097;1.71247817
LOC104426101;1.123463927
LOC104426185;3.265528455
LOC104426333;-2.217198212
LOC104426357;-1.892126542
LOC104426362;2.225132699
LOC104426370;-1.682641908
LOC104426376;1.933166336
LOC104426382;1.023392204
LOC104426396;-1.686586861
LOC104426424;3.607084886
LOC104426470;3.593884339
LOC104426556;1.809993587
LOC104426758;6.124128594
LOC104426845;-1.415071589
LOC104426916;2.919764629
LOC104428135;-1.063768057
LOC104428229;3.518820517
LOC104428233;2.116005489
LOC104428234;4.164195702
LOC104428237;2.376865397
LOC104428238;1.740793475
LOC104428239;2.288143126
LOC104428248;-1.519849826
LOC104429026;6.511978993
LOC104429625;-2.821632737
LOC104430096;5.634763065
LOC104430693;-2.087558597
LOC104430869;2.443397534
LOC104431554;-1.421614282
LOC104431598;2.724227809
LOC104431659;4.378864859
LOC104431674;4.948201083
LOC104432271;1.101447939
LOC104432517;2.967854337
LOC104432518;3.737913958
LOC104432744;2.439165955
LOC104432885;-1.479975899
LOC104432894;-4.196315001
LOC104432897;2.413058424
LOC104433044;-1.235917253
LOC104433086;6.017024571
LOC104433343;1.468439636
LOC104433375;2.744701011
LOC104433378;-1.815591095
LOC104433492;1.347971161
LOC104433548;-3.359223653
LOC104433596;2.101489526
LOC104433611;-1.287950306
LOC104433754;1.246555859
LOC104433765;-1.735351513
LOC104433770;-2.891148497
LOC104433887;-3.457904357
LOC104433954;-1.108571434
LOC104433970;2.594114466
LOC104434008;3.883392946
LOC104434198;-1.480007944
LOC104434817;-1.165724519
LOC104434897;-1.303007685
LOC104435310;-3.137621535
LOC104435330;-3.193055154
LOC104435383;-2.596337691
LOC104435392;2.824404157
LOC104435641;2.178266409
LOC104435678;-1.769871944
LOC104435850;2.118146536
LOC104435983;1.704994372
LOC104436003;3.193599558
LOC104436013;-3.051993042
LOC104436127;-1.568559646
LOC104436252;1.201704408
LOC104436271;2.609958111
LOC104436291;-1.562059554
LOC104436316;1.119083575
LOC104436331;5.583507584
LOC104436385;-1.952149439
LOC104436467;1.221914233
LOC104436934;1.620217539
LOC104437008;-1.857207954
LOC104437014;2.186677595
LOC104437131;-1.163386514
LOC104437268;-3.161512324
LOC104437310;-3.493038198
LOC104437375;2.883481126
LOC104437376;3.816534924
LOC104437406;-1.934397977
LOC104437553;1.260046312
LOC104437649;2.79056258
LOC104437925;3.761780199
LOC104438022;2.018912798
LOC104438025;2.355372448
LOC104438083;2.340450921
LOC104438084;1.385953475
LOC104438090;2.505511144
LOC104438220;2.325712398
LOC104438363;-1.553820559
LOC104438443;1.217477208
LOC104438484;-1.576060599
LOC104438533;7.960452627
LOC104438537;1.105397093
LOC104438548;1.937089434
LOC104438577;-1.71973365
LOC104438959;-2.492512037
LOC104439005;-2.411732008
LOC104439555;1.678521068
LOC104439712;3.750034765
LOC104439761;-2.030435453
LOC104440319;1.309603432
LOC104440457;1.443463469
LOC104440761;-1.446145602
LOC104440811;-1.234022665
LOC104440819;-1.017505734
LOC104440903;-3.323980348
LOC104440905;-3.1994064
LOC104440910;-1.822229587
LOC104440990;1.773177739
LOC104441018;1.491495976
LOC104441053;-1.52376379
LOC104441118;1.126469498
LOC104441151;1.646431999
LOC104441179;1.822940304
LOC104441243;-1.79802583
LOC104441382;-1.295282305
LOC104441580;-1.678213562
LOC104441634;-1.780704117
LOC104441650;1.459564423
LOC104441678;2.582668899
LOC104441723;1.636923112
LOC104441820;-1.415915958
LOC104441822;-3.033262031
LOC104441844;-1.68295919
LOC104442050;1.182140424
LOC104442142;4.223508997
LOC104442162;3.198566919
LOC104442164;-1.500880125
LOC104442395;1.868260626
LOC104442396;3.245550459
LOC104442488;-1.722013574
LOC104442491;-3.17403694
LOC104442613;-2.381632114
LOC104442616;-2.46314786
LOC104443129;1.397444459
LOC104443304;-1.420895162
LOC104443337;-1.908012097
LOC104443693;4.052430939
LOC104443704;-2.175063712
LOC104443716;-1.370928468
LOC104443760;-2.041065081
LOC104443842;2.821325781
LOC104443944;-1.657335756
LOC104443946;-2.120719797
LOC104443989;2.353847191
LOC104444175;2.555615538
LOC104444299;4.360586521
LOC104444321;-1.545806243
LOC104444345;2.398173017
LOC104444355;2.491837289
LOC104444444;-1.562339539
LOC104444538;-2.871619778
LOC104444630;2.548991611
LOC104444649;-3.112136966
LOC104444824;-1.464431645
LOC104444849;2.093084979
LOC104445133;-1.269868477
LOC104445232;2.822856538
LOC104445318;3.09472859
LOC104445511;-2.448794452
LOC104445630;1.538816983
LOC104445836;-1.380825919
LOC104447403;-1.423197117
LOC104447535;4.188921306
LOC104447807;1.483267113
LOC104447884;-1.180640222
LOC104447893;1.168332805
LOC104447996;1.470125646
LOC104448079;1.711525421
LOC104448131;3.193755562
LOC104448319;2.783473571
LOC104448405;3.055603732
LOC104448534;1.644679997
LOC104448763;-2.355905906
LOC104448782;-1.264792011
LOC104448824;2.958507685
LOC104448843;5.111644991
LOC104448854;2.179233041
LOC104448896;1.807614483
LOC104448900;1.75702916
LOC104448977;-1.756342098
LOC104448981;2.623623216
LOC104449015;-6.609516812
LOC104449147;-2.510260389
