"gene","meta.logFC.mean","meta.logFC.weighted","meta.P.Value","meta.adj.P.Val","heterogeneity.variance","direction"
"LOC104419701",3.28763833795986,6.93108794399412,0,0,10.0748040373986,"Up"
"LOC104421832",1.72850931461493,1.89478859302185,0,0,0.343252196812982,"Up"
"LOC104422020",1.35031957020808,1.42518913211332,0,0,0.0391770733263054,"Up"
"LOC104422426",2.36629071223356,4.25379244408549,2.69118061169138e-13,1.36188972049386e-11,2.80582669512752,"Up"
"LOC104422885",1.85175294981736,3.36843694293104,1.22124532708767e-15,9.74851813030311e-14,1.72542736338872,"Up"
"LOC104423239",3.90835729031453,6.33855373064944,0,0,6.59008685254875,"Up"
"LOC104425032",3.35336599985924,7.2022280713456,1.66533453693773e-15,1.29842841904671e-13,11.2291932056176,"Up"
"LOC104425170",1.62284525853509,2.1890729664741,2.97539770599542e-14,1.82198954046811e-12,0.372773417659031,"Up"
"LOC104425210",3.4994805509254,5.17074844314574,0,0,3.92064119762863,"Up"
"LOC104425331",4.45281298614023,5.30433803521685,0,0,4.2369817627785,"Up"
"LOC104425818",3.17443910954651,5.65298243619361,0,0,4.94820787822713,"Up"
"LOC104425926",4.02312334164809,7.60877325798505,0,0,11.1170373910395,"Up"
"LOC104426362",1.91082141125594,2.22513269939713,0,0,0.74686502581079,"Up"
"LOC104426470",2.21409553973001,3.59388433913885,0,0,1.58351153130452,"Up"
"LOC104428233",1.62032251510859,2.11600548853368,4.11043254988641e-08,7.28176429461714e-07,0.368168545603829,"Up"
"LOC104428239",1.87065200522305,2.2881431259408,5.8395510649234e-12,2.30327351635751e-10,0.248926681316868,"Up"
"LOC104433086",4.35453526181727,6.01702457127727,0,0,7.21873039194485,"Up"
"LOC104433375",2.17490698761798,2.74470101070938,0,0,0.622200343439172,"Up"
"LOC104435850",1.92391926527073,2.11814653588932,0,0,0.658575895040213,"Up"
"LOC104443693",3.03499832421068,4.05243093921088,0,0,3.20457712583588,"Up"
"LOC104444345",2.07374569312786,2.39817301667938,0,0,0.105977802593612,"Up"
"LOC104448824",2.62141211828468,2.95850768534909,0,0,0.828849656435077,"Up"
"LOC104448981",1.79715390844614,2.62362321618716,0,0,0.539958210091514,"Up"
"LOC104449755",2.4452719117947,2.82405489431109,0,0,0.448422255865809,"Up"
"LOC104450567",4.20613926838651,5.6658291925922,0,0,7.60466494603668,"Up"
"LOC104453198",4.41835412035697,6.55958474139283,2.24265050974282e-14,1.39884021678633e-12,7.11928046779332,"Up"
"LOC104453718",3.04702892746131,2.89224839589986,0,0,0.110616110008907,"Up"
"LOC104453835",1.9477379961591,2.63057674896485,0,0,0.406275926641123,"Up"
"LOC104456070",3.89737654642275,4.19622818848931,0,0,0.190327076534986,"Up"
"LOC104456927",3.1312236569756,2.57745499859803,1.11022302462516e-16,1.01977026518737e-14,0.535917220810369,"Up"
"LOC108958036",3.11993112496825,5.86470131527002,0,0,5.98437429422161,"Up"
"LOC108958104",3.39381977102392,4.91738702804037,0,0,2.08417404947113,"Up"
"LOC120292232",3.22058931026656,6.12273603804864,0,0,6.56779364733938,"Up"
