"gene","meta.logFC.mean","meta.logFC.weighted","meta.P.Value","meta.adj.P.Val","heterogeneity.variance","direction"
"LOC104414249",-0.816654948178693,-1.13989354375409,5.92624592826718e-05,0.000462192038505537,0.299027666843226,"Down"
"LOC104414384",-1.43433769706024,-2.6890808970315,8.27449220253129e-13,3.84627652277455e-11,1.37893060163437,"Down"
"LOC104414748",-1.66041705469366,-2.20393147379578,2.75557354711964e-13,1.39185005851781e-11,1.58451430353751,"Down"
"LOC104414842",-1.6626762845265,-3.01711620381341,0,0,1.51205873780873,"Down"
"LOC104414850",-1.30310395998285,-1.75465823922796,9.14958775410923e-10,2.27223234400892e-08,1.23402475105148,"Down"
"LOC104415195",-2.04089607251301,-3.661895248746,2.18983281508045e-08,4.13325164906916e-07,2.86711272898453,"Down"
"LOC104415811",-0.83698124929847,-1.25319477183574,1.0547118733939e-13,5.78495442869075e-12,0.48620539488893,"Down"
"LOC104416309",-0.810327698833015,-1.0613316003198,7.1472245233295e-08,1.19287933379104e-06,0.257421338594699,"Down"
"LOC104416758",-1.19174799007498,-2.0089698100248,2.508659946443e-12,1.07828154524916e-10,0.683400890865219,"Down"
"LOC104418160",-0.420303599189618,-2.39587941391284,7.38588714987998e-06,7.44725109950868e-05,4.45397760116371,"Down"
"LOC104418261",-0.954712756075479,-1.51467389499415,6.89368626627385e-07,8.97987175073972e-06,0.676478187872644,"Down"
"LOC104418322",-0.943142797981487,-1.69720344023593,7.54951656745106e-15,5.27306207957305e-13,0.772281439801735,"Down"
"LOC104418726",-1.52648226648332,-3.40284194768823,2.22044604925031e-16,1.9917920898643e-14,2.91792778924667,"Down"
"LOC104418823",0.0189789681786486,-1.34953116660346,0,0,2.84958414746219,"Down"
"LOC104418841",-1.80224045956096,-3.70819587347496,0,0,3.16309552153005,"Down"
"LOC104418874",-1.28592347654735,-1.68973909723852,1.40998324127395e-14,9.38391079757037e-13,0.472987437540796,"Down"
"LOC104419046",-0.888809053977938,-1.79626871207047,0,0,2.0888471688066,"Down"
"LOC104419129",-0.135546952561528,-1.6482919576263,3.355244335701e-07,4.78421096905032e-06,1.99960786901791,"Down"
"LOC104419319",-0.0756119008303403,-1.57880378904239,6.99539093318435e-10,1.79715881435764e-08,2.40593708801609,"Down"
"LOC104419331",-0.421217274371221,-2.99427743381467,1.11383124945519e-11,4.10358076121396e-10,5.37440143870527,"Down"
"LOC104419468",-0.775141415365711,-1.67973558838144,5.80566483776579e-10,1.52064195911832e-08,1.17563449669998,"Down"
"LOC104419738",-0.934052587743821,-1.52978280111194,2.21505169761826e-09,5.13038873763553e-08,0.715028249143851,"Down"
