gene,meta.logFC.weighted
egr:104414133,2.948942366
egr:104414249,-1.139893544
egr:104414275,2.931853455
egr:104414384,-2.689080897
egr:104414424,1.311599206
egr:104414748,-2.203931474
egr:104414842,-3.017116204
egr:104414844,2.780246858
egr:104414850,-1.754658239
egr:104415163,2.04262038
egr:104415195,-3.661895249
egr:104415208,3.242973303
egr:104415259,1.272322676
egr:104415298,7.739770639
egr:104415428,2.35257602
egr:104415495,2.171495935
egr:104415666,2.584929555
egr:104415811,-1.253194772
egr:104415812,2.323935178
egr:104415890,5.523439094
egr:104415975,2.203489912
egr:104416098,5.991067988
egr:104416100,3.094735325
egr:104416101,5.54502147
egr:104416309,-1.0613316
egr:104416758,-2.00896981
egr:104417097,3.419029703
egr:104417224,2.301852638
egr:104417344,1.805373863
egr:104417839,2.005664712
egr:104418160,-2.395879414
egr:104418211,1.27796672
egr:104418261,-1.514673895
egr:104418322,-1.69720344
egr:104418418,1.528700534
egr:104418516,4.202658434
egr:104418726,-3.402841948
egr:104418746,2.204546565
egr:104418799,3.285067988
egr:104418823,-1.349531167
egr:104418841,-3.708195873
egr:104418874,-1.689739097
egr:104418986,1.258328938
egr:104419046,-1.796268712
egr:104419047,1.908987157
egr:104419129,-1.648291958
egr:104419256,1.654065391
egr:104419319,-1.578803789
egr:104419331,-2.994277434
egr:104419356,3.592263569
egr:104419390,1.471027239
egr:104419414,1.529226452
egr:104419468,-1.679735588
egr:104419505,3.464485275
egr:104419638,3.453782025
egr:104419699,5.968897066
egr:104419701,6.931087944
egr:104419738,-1.529782801
egr:104419743,1.182570358
egr:104419776,2.369914731
egr:104420143,-1.458477752
egr:104420490,-1.33741753
egr:104420611,-1.840680812
egr:104420933,1.640932518
egr:104421023,1.212947798
egr:104421046,1.69348697
egr:104421062,2.750318096
egr:104421065,-1.515522544
egr:104421211,-1.598371632
egr:104421212,-1.896397612
egr:104421213,-2.2161494
egr:104421217,2.006667928
egr:104421244,-1.929255307
egr:104421641,2.397839935
egr:104421697,1.388525818
egr:104421753,2.242449416
egr:104421832,1.894788593
egr:104421925,-1.583564982
egr:104421943,-1.930854819
egr:104421949,-1.738025331
egr:104421994,2.795852898
egr:104422020,1.425189132
egr:104422063,-1.129495637
egr:104422159,-1.354652603
egr:104422187,-1.439900035
egr:104422425,1.235611123
egr:104422426,4.253792444
egr:104422428,4.164929119
egr:104422435,2.759082054
egr:104422437,2.878633363
egr:104422443,1.835196185
egr:104422449,2.104651256
egr:104422452,3.244280493
egr:104422463,2.141540449
egr:104422490,-1.580561721
egr:104422536,1.756557098
egr:104422563,2.925090616
egr:104422885,3.368436943
egr:104422948,-1.049753519
egr:104422980,-1.851538163
egr:104423019,-1.37501006
egr:104423108,-1.249419275
egr:104423239,6.338553731
egr:104423320,1.454112112
egr:104423376,1.619592008
egr:104423843,2.424403694
egr:104423869,1.762714773
egr:104424069,-1.786413016
egr:104424168,2.027293281
egr:104424311,2.147347586
egr:104424341,-2.286438945
egr:104424363,3.208482257
egr:104424483,1.725579513
egr:104424514,1.731656599
egr:104424548,3.599048836
egr:104424824,-1.584048132
egr:104425031,-1.655312602
egr:104425032,7.202228071
egr:104425069,2.208891668
egr:104425088,1.565226072
egr:104425144,4.209360194
egr:104425170,2.189072966
egr:104425207,1.144367113
egr:104425210,5.170748443
egr:104425331,5.304338035
egr:104425340,-2.257390685
egr:104425552,1.333678048
egr:104425649,-2.759894719
egr:104425674,-1.48670209
egr:104425818,5.652982436
egr:104425845,-2.496061182
egr:104425882,5.085458292
egr:104425894,1.719206562
egr:104425921,5.86971144
egr:104425922,2.371183195
egr:104425924,5.137831282
egr:104425926,7.608773258
egr:104426006,1.865270956
egr:104426097,1.71247817
egr:104426101,1.123463927
egr:104426185,3.265528455
egr:104426333,-2.217198212
egr:104426357,-1.892126542
egr:104426362,2.225132699
egr:104426370,-1.682641908
egr:104426376,1.933166336
egr:104426382,1.023392204
egr:104426396,-1.686586861
egr:104426424,3.607084886
egr:104426470,3.593884339
egr:104426556,1.809993587
egr:104426758,6.124128594
egr:104426845,-1.415071589
egr:104426916,2.919764629
egr:104428135,-1.063768057
egr:104428229,3.518820517
egr:104428233,2.116005489
egr:104428234,4.164195702
egr:104428237,2.376865397
egr:104428238,1.740793475
egr:104428239,2.288143126
egr:104428248,-1.519849826
egr:104429026,6.511978993
egr:104429625,-2.821632737
egr:104430096,5.634763065
egr:104430693,-2.087558597
egr:104430869,2.443397534
egr:104431554,-1.421614282
egr:104431598,2.724227809
egr:104431659,4.378864859
egr:104431674,4.948201083
egr:104432271,1.101447939
egr:104432517,2.967854337
egr:104432518,3.737913958
egr:104432744,2.439165955
egr:104432885,-1.479975899
egr:104432894,-4.196315001
egr:104432897,2.413058424
egr:104433044,-1.235917253
egr:104433086,6.017024571
egr:104433343,1.468439636
egr:104433375,2.744701011
egr:104433378,-1.815591095
egr:104433492,1.347971161
egr:104433548,-3.359223653
egr:104433596,2.101489526
egr:104433611,-1.287950306
egr:104433754,1.246555859
egr:104433765,-1.735351513
egr:104433770,-2.891148497
egr:104433887,-3.457904357
egr:104433954,-1.108571434
egr:104433970,2.594114466
egr:104434008,3.883392946
egr:104434198,-1.480007944
egr:104434817,-1.165724519
egr:104434897,-1.303007685
egr:104435310,-3.137621535
egr:104435330,-3.193055154
egr:104435383,-2.596337691
egr:104435392,2.824404157
egr:104435641,2.178266409
egr:104435678,-1.769871944
egr:104435850,2.118146536
egr:104435983,1.704994372
egr:104436003,3.193599558
egr:104436013,-3.051993042
egr:104436127,-1.568559646
egr:104436252,1.201704408
egr:104436271,2.609958111
egr:104436291,-1.562059554
egr:104436316,1.119083575
egr:104436331,5.583507584
egr:104436385,-1.952149439
egr:104436467,1.221914233
egr:104436934,1.620217539
egr:104437008,-1.857207954
egr:104437014,2.186677595
egr:104437131,-1.163386514
egr:104437268,-3.161512324
egr:104437310,-3.493038198
egr:104437375,2.883481126
egr:104437376,3.816534924
egr:104437406,-1.934397977
egr:104437553,1.260046312
egr:104437649,2.79056258
egr:104437925,3.761780199
egr:104438022,2.018912798
egr:104438025,2.355372448
egr:104438083,2.340450921
egr:104438084,1.385953475
egr:104438090,2.505511144
egr:104438220,2.325712398
egr:104438363,-1.553820559
egr:104438443,1.217477208
egr:104438484,-1.576060599
egr:104438533,7.960452627
egr:104438537,1.105397093
egr:104438548,1.937089434
egr:104438577,-1.71973365
egr:104438959,-2.492512037
egr:104439005,-2.411732008
egr:104439555,1.678521068
egr:104439712,3.750034765
egr:104439761,-2.030435453
egr:104440319,1.309603432
egr:104440457,1.443463469
egr:104440761,-1.446145602
egr:104440811,-1.234022665
egr:104440819,-1.017505734
egr:104440903,-3.323980348
egr:104440905,-3.1994064
egr:104440910,-1.822229587
egr:104440990,1.773177739
egr:104441018,1.491495976
egr:104441053,-1.52376379
egr:104441118,1.126469498
egr:104441151,1.646431999
egr:104441179,1.822940304
egr:104441243,-1.79802583
egr:104441382,-1.295282305
egr:104441580,-1.678213562
egr:104441634,-1.780704117
egr:104441650,1.459564423
egr:104441678,2.582668899
egr:104441723,1.636923112
egr:104441820,-1.415915958
egr:104441822,-3.033262031
egr:104441844,-1.68295919
egr:104442050,1.182140424
egr:104442142,4.223508997
egr:104442162,3.198566919
egr:104442164,-1.500880125
egr:104442395,1.868260626
egr:104442396,3.245550459
egr:104442488,-1.722013574
egr:104442491,-3.17403694
egr:104442613,-2.381632114
egr:104442616,-2.46314786
egr:104443129,1.397444459
egr:104443304,-1.420895162
egr:104443337,-1.908012097
egr:104443693,4.052430939
egr:104443704,-2.175063712
egr:104443716,-1.370928468
egr:104443760,-2.041065081
egr:104443842,2.821325781
egr:104443944,-1.657335756
egr:104443946,-2.120719797
egr:104443989,2.353847191
egr:104444175,2.555615538
egr:104444299,4.360586521
egr:104444321,-1.545806243
egr:104444345,2.398173017
egr:104444355,2.491837289
egr:104444444,-1.562339539
egr:104444538,-2.871619778
egr:104444630,2.548991611
egr:104444649,-3.112136966
egr:104444824,-1.464431645
egr:104444849,2.093084979
egr:104445133,-1.269868477
egr:104445232,2.822856538
egr:104445318,3.09472859
egr:104445511,-2.448794452
egr:104445630,1.538816983
egr:104445836,-1.380825919
egr:104447403,-1.423197117
egr:104447535,4.188921306
egr:104447807,1.483267113
egr:104447884,-1.180640222
egr:104447893,1.168332805
egr:104447996,1.470125646
egr:104448079,1.711525421
egr:104448131,3.193755562
egr:104448319,2.783473571
egr:104448405,3.055603732
egr:104448534,1.644679997
egr:104448763,-2.355905906
egr:104448782,-1.264792011
egr:104448824,2.958507685
egr:104448843,5.111644991
egr:104448854,2.179233041
egr:104448896,1.807614483
egr:104448900,1.75702916
