"gene","meta.logFC.mean","meta.logFC.weighted","meta.P.Value","meta.adj.P.Val","heterogeneity.variance","direction"
"LOC104414133",1.619899692322,2.94894236574166,0,0,2.20567873167984,"Up"
"LOC104414249",-0.816654948178693,-1.13989354375409,5.92624592826718e-05,0.000462192038505537,0.299027666843226,"Down"
"LOC104414275",1.55722554239445,2.93185345501621,0,0,1.59350860940836,"Up"
"LOC104414384",-1.43433769706024,-2.6890808970315,8.27449220253129e-13,3.84627652277455e-11,1.37893060163437,"Down"
"LOC104414424",0.976968086651438,1.31159920600136,1.23673726815099e-09,3.00673775883092e-08,0.221311438109756,"Up"
"LOC104414748",-1.66041705469366,-2.20393147379578,2.75557354711964e-13,1.39185005851781e-11,1.58451430353751,"Down"
"LOC104414842",-1.6626762845265,-3.01711620381341,0,0,1.51205873780873,"Down"
"LOC104414844",2.05331351058058,2.78024685847647,0,0,1.68699634207692,"Up"
"LOC104414850",-1.30310395998285,-1.75465823922796,9.14958775410923e-10,2.27223234400892e-08,1.23402475105148,"Down"
"LOC104415163",1.43483065159156,2.0426203801345,0,0,0.43516616590607,"Up"
"LOC104415195",-2.04089607251301,-3.661895248746,2.18983281508045e-08,4.13325164906916e-07,2.86711272898453,"Down"
"LOC104415208",0.508542165086413,3.24297330328349,1.09323661234839e-12,4.98668353397895e-11,6.23797990645874,"Up"
"LOC104415259",1.00232626510288,1.2723226763522,5.55111512312578e-14,3.20875988614993e-12,0.638389273321247,"Up"
"LOC104415298",4.23187668227385,7.739770638543,6.08402217494586e-14,3.46453415614061e-12,15.2725382427744,"Up"
"LOC104415428",1.31179394093132,2.3525760196106,5.55111512312578e-16,4.69673371348128e-14,0.980627902446344,"Up"
"LOC104415495",1.14815345922991,2.17149593548066,5.10702591327572e-15,3.71207430948423e-13,1.10161034470722,"Up"
"LOC104415666",2.05036910104333,2.58492955507423,2.96801916377376e-10,8.3443649886348e-09,2.04046069924636,"Up"
"LOC104415811",-0.83698124929847,-1.25319477183574,1.0547118733939e-13,5.78495442869075e-12,0.48620539488893,"Down"
"LOC104415812",1.49706557222721,2.32393517846959,2.20971433373407e-08,4.16491554076469e-07,0.946981528347563,"Up"
"LOC104415890",3.93093442029959,5.52343909404875,0,0,11.2599667213564,"Up"
"LOC104415975",1.36625433167676,2.20348991169293,3.60789176312437e-12,1.49414913740582e-10,1.28546926301357,"Up"
"LOC104416098",2.66625154283642,5.99106798800491,0,0,9.2915011959571,"Up"
"LOC104416100",1.58228915151615,3.09473532476909,0,0,2.405765679726,"Up"
"LOC104416101",2.75401335454413,5.54502146970651,0,0,7.46279981238858,"Up"
"LOC104416309",-0.810327698833015,-1.0613316003198,7.1472245233295e-08,1.19287933379104e-06,0.257421338594699,"Down"
"LOC104416758",-1.19174799007498,-2.0089698100248,2.508659946443e-12,1.07828154524916e-10,0.683400890865219,"Down"
"LOC104417097",2.42322143282819,3.41902970280021,0,0,3.44747723132578,"Up"
"LOC104417224",1.11370803649156,2.30185263783706,4.44089209850063e-16,3.80540469565129e-14,1.32878951354938,"Up"
"LOC104417344",1.47690807861214,1.80537386339654,0,0,0.297886963990564,"Up"
"LOC104417839",1.83970187785916,2.00566471179447,0,0,1.49183742914411,"Up"
"LOC104418160",-0.420303599189618,-2.39587941391284,7.38588714987998e-06,7.44725109950868e-05,4.45397760116371,"Down"
"LOC104418211",0.959447697437878,1.27796672049991,1.72347947025031e-09,4.07991552264639e-08,0.596741393592455,"Up"
"LOC104418261",-0.954712756075479,-1.51467389499415,6.89368626627385e-07,8.97987175073972e-06,0.676478187872644,"Down"
"LOC104418322",-0.943142797981487,-1.69720344023593,7.54951656745106e-15,5.27306207957305e-13,0.772281439801735,"Down"
"LOC104418418",1.00838595764784,1.52870053407376,4.62555631575157e-08,8.0612115623634e-07,0.301543894420753,"Up"
"LOC104418516",2.95376362456314,4.20265843387843,0,0,4.69172993307109,"Up"
"LOC104418726",-1.52648226648332,-3.40284194768823,2.22044604925031e-16,1.9917920898643e-14,2.91792778924667,"Down"
"LOC104418746",1.20300566468871,2.20454656461677,6.44681836692307e-07,8.47183319055579e-06,0.952874805903299,"Up"
"LOC104418799",1.97465215446026,3.28506798816081,0,0,3.0958311462809,"Up"
