"gene","meta.logFC.mean","meta.logFC.weighted","meta.P.Value","meta.adj.P.Val","heterogeneity.variance","direction"
"LOC104414029",-0.75680947331932,-1.39555495014345,6.63070558459822e-08,1.11574830684994e-06,0.409011564393569,"Down"
"LOC104414040",-0.88785892291555,-1.42114205772659,2.40177178145728e-09,5.53894419178554e-08,0.2270616457813,"Down"
"LOC104414112",0.520258126985679,1.60061516774712,0.00199710540542319,0.00951916902058921,0.878637305911816,"Up"
"LOC104414114",-0.940856875899511,-1.85917980219702,9.78786117660224e-05,0.000707983345786539,0.888440460279898,"Down"
"LOC104414120",-0.835559228614793,-1.87430601847598,2.36366481942696e-13,1.20295738371633e-11,0.916593872668802,"Down"
"LOC104414129",0.751266550787353,2.16995567108766,3.9174647337159e-07,5.4953097083156e-06,1.51175393320712,"Up"
"LOC104414133",1.619899692322,2.94894236574166,0,0,2.20567873167984,"Up"
"LOC104414136",0.219070400686999,1.01918372186327,2.5017564537988e-05,0.000217361871873461,0.502048009478542,"Up"
"LOC104414140",0.961383693481866,1.26348321450662,5.55111512312578e-16,4.69673371348128e-14,0.107027124706321,"Up"
"LOC104414145",-0.582624128849936,-1.52961074261432,0.00885588891510769,0.0326717739466442,0.696671413236615,"Down"
"LOC104414154",-0.457449242244003,-1.14914580662909,0.0127983652013018,0.0440355484378864,0.371555818888188,"Down"
"LOC104414164",-0.367095310903736,-1.49221991191766,1.22322077156234e-06,1.49322711905461e-05,0.998580185208325,"Down"
"LOC104414172",-0.535777011650367,-1.04885571707271,8.42426246849826e-06,8.37871266425351e-05,0.204974915685183,"Down"
"LOC104414195",0.680990656927645,2.44916565531533,1.74609535275039e-07,2.68077863173588e-06,2.41031032820884,"Up"
"LOC104414197",1.25648349221086,3.52472236185106,1.03243424920407e-09,2.54045128421123e-08,3.9985534181337,"Up"
"LOC104414204",-0.700738345863245,-2.22896018038782,6.5179586061781e-08,1.09948533192643e-06,1.76006573600923,"Down"
"LOC104414207",0.419399207685258,1.28122189989091,3.34977026561489e-07,4.7789461858541e-06,0.628002755414563,"Up"
"LOC104414210",0.858080882222753,1.71553103549119,5.60877719713027e-07,7.4954167017554e-06,0.592192141838143,"Up"
"LOC104414230",0.326142636535134,1.1179019855655,7.07182892589753e-06,7.17102168701314e-05,0.471867110765837,"Up"
"LOC104414235",-0.522863999824103,-1.3376116970329,3.80835994568951e-05,0.000315162055240168,0.516759705470555,"Down"
"LOC104414236",0.528361215265514,1.65276469416571,0.00414070330728677,0.01746191877433,0.965028301730449,"Up"
"LOC104414246",-0.804712541165769,-1.7546489847013,1.00629025223675e-07,1.62882986452878e-06,0.676965929768582,"Down"
"LOC104414249",-0.816654948178693,-1.13989354375409,5.92624592826718e-05,0.000462192038505537,0.299027666843226,"Down"
"LOC104414252",1.72395028172146,5.30305610174271,2.77185163710669e-10,7.8092261301301e-09,9.61180685740771,"Up"
"LOC104414275",1.55722554239445,2.93185345501621,0,0,1.59350860940836,"Up"
"LOC104414279",-0.5442298236351,-1.29540734088486,9.83941358612128e-07,1.22460747931953e-05,0.424118125452948,"Down"
"LOC104414282",-0.594419552851617,-1.26268747219083,3.20296521527652e-08,5.82813636627758e-07,0.36635291529437,"Down"
"LOC104414294",0.334828851888384,1.01672225706114,0.00183627958825472,0.00888683775470585,0.348973795682526,"Up"
"LOC104414303",0.751963921130338,1.53474288630612,1.68753899743024e-14,1.10125263868799e-12,0.462821899503943,"Up"
